price,postal_code,address,bed,full_bath,half_bath,property_area,property_type
799900,T3M2Z9,93 MAGNOLIA HEATH SE,5.0,3.0,1.0,2604.0,house
725000,T2T6M7,3909 20 ST SW,3.0,3.0,1.0,1905.0,house
209900,T3J3B4,97 FALSHIRE Terrace NE,3.0,1.0,1.0,1051.0,townhouse
589900,T2J0G9,432 96 AVE SE,4.0,2.0,,1046.0,house
859900,T3A5B3,142 HAMPSHIRE GROVE NW,4.0,4.0,1.0,2885.0,house
499900,T3P1M4,634 148 AVE NW,3.0,2.0,1.0,2268.0,house
384000,T3M0A8,203 AUBURN BAY HTS SE,4.0,3.0,,1010.0,house
798000,T2Z2M8,314 DOUGLAS GLEN BLVD SE,4.0,3.0,1.0,2879.0,house
659000,T2J1X3,10619 MAPLEBEND DR SE,4.0,3.0,,1172.0,house
524900,T3H4W4,295 COUGARSTONE CIR SW,3.0,2.0,1.0,1959.0,house
519900,T2W0N2,724 SHERMAN AVE SW,3.0,2.0,,1125.0,house
249700,T3M2L7,3303 - 522 CRANFORD DR SE,2.0,2.0,,832.0,condo
430000,T3A5V9,185 HAMPTONS LI NW,2.0,2.0,1.0,1079.0,townhouse
349900,T2A6T6,29 ABERDARE WAY NE,5.0,2.0,,962.0,house
250000,T2G5S6,203 - 1414 17 ST SE,2.0,2.0,,846.0,condo
489900,T2W3W7,11 WOODBINE BLVD SW,4.0,3.0,1.0,2257.0,house
450000,T3K5X6,35 COVEPARK TERR NE,4.0,3.0,1.0,1572.0,house
389900,T3J0M5,17 SADDLELAKE Alley NE,3.0,2.0,1.0,1373.0,townhouse
524900,T3G5C2,606 ROCKY RIDGE VIEW NW,4.0,3.0,1.0,2210.0,house
309900,T3B5T3,112 Valley Ridge Heights NW,2.0,2.0,1.0,1159.0,townhouse
474800,T2Y2V1,306 SHAWNEE GDNS SW,4.0,2.0,1.0,2105.0,house
649800,T2T3M9,106 - 1720 12 ST SW,2.0,3.0,,1652.0,townhouse
444900,T1Y5X8,120 WHITERAM CLOSE NE,6.0,3.0,,1280.0,house
489000,T3N0J1,43 SKYVIEW SHORES LINK NE,3.0,2.0,1.0,1971.0,house
